#node1,node2,node1_string_id,node2_string_id,homology,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
CHD8,KANSL1,9606.ENSP00000495240,9606.ENSP00000387393,0,0,0.9,0,0.9
CHD8,KMT2B,9606.ENSP00000495240,9606.ENSP00000398837,0,0,0.54,0,0.54
CHD8,CTNNB1,9606.ENSP00000495240,9606.ENSP00000495360,0,0.457,0.9,0,0.943
CTNNB1,DNMT1,9606.ENSP00000495360,9606.ENSP00000352516,0,0.457,0,0,0.457
DNMT1,STAT3,9606.ENSP00000352516,9606.ENSP00000264657,0,0.457,0,0,0.457
KANSL1,KMT2B,9606.ENSP00000387393,9606.ENSP00000398837,0,0.329,0.54,0,0.678
