figure	relative_path	ftp_status	remote_path	remote_size_bytes	reuse_source_relative_path	figshare_url	notes
figure3	reproducibility/figure3/data/Collectri_genesets_forfGSEA.csv	uploaded	data/reproducibility/figure3/data/Collectri_genesets_forfGSEA.csv	21481258		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure3	reproducibility/figure3/data/240918 LINC_gene sets_CRISPR_CONSENSUS_SigComLINCS_bottom_150.csv	uploaded	data/reproducibility/figure3/data/240918 LINC_gene sets_CRISPR_CONSENSUS_SigComLINCS_bottom_150.csv	8827217		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure3	reproducibility/figure3/data/240918 LINC_gene sets_CRISPR_CONSENSUS_SigComLINCS_bottom_200.csv	uploaded	data/reproducibility/figure3/data/240918 LINC_gene sets_CRISPR_CONSENSUS_SigComLINCS_bottom_200.csv	11759014		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure3	reproducibility/figure3/data/240918 LINC_gene sets_CRISPR_CONSENSUS_SigComLINCS_bottom_250.csv	uploaded	data/reproducibility/figure3/data/240918 LINC_gene sets_CRISPR_CONSENSUS_SigComLINCS_bottom_250.csv	14695560		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure3	reproducibility/figure3/data/BENCHMARKING PARAMETERS ALL CONTEXTS_Collectri.csv	uploaded	data/reproducibility/figure3/data/BENCHMARKING PARAMETERS ALL CONTEXTS_Collectri.csv	4231		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure3	reproducibility/figure3/data/240924 Benchmarking_R_list_25NULL MODELS FOR EACH PARAM.rds	uploaded	data/reproducibility/figure3/data/240924 Benchmarking_R_list_25NULL MODELS FOR EACH PARAM.rds	635530315		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure3	reproducibility/figure3/data/240925_Benchmarking_R_list_25NULL_MODELS_FOR_EACH_PARAM_2.rds	uploaded	data/reproducibility/figure3/data/240925_Benchmarking_R_list_25NULL_MODELS_FOR_EACH_PARAM_2.rds	634851692		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure3	reproducibility/figure3/data/240925_Benchmarking_R_list_25NULL_MODELS_FOR_EACH_PARAM_3.rds	uploaded	data/reproducibility/figure3/data/240925_Benchmarking_R_list_25NULL_MODELS_FOR_EACH_PARAM_3.rds	634809905		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure3	reproducibility/figure3/data/240925_Benchmarking_R_list_25NULL_MODELS_FOR_EACH_PARAM_4.rds	uploaded	data/reproducibility/figure3/data/240925_Benchmarking_R_list_25NULL_MODELS_FOR_EACH_PARAM_4.rds	634807015		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure3	reproducibility/figure3/data/250710 Benchmarking_fgsea results_ALL_CONTEXTS.csv	uploaded	data/reproducibility/figure3/data/250710 Benchmarking_fgsea results_ALL_CONTEXTS.csv	352603		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure3	reproducibility/figure3/data/250715_fGSEA_100NULLmodels_SUMMARY.csv	uploaded	data/reproducibility/figure3/data/250715_fGSEA_100NULLmodels_SUMMARY.csv	453478		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure3	reproducibility/figure3/data/250721 Benchmarking_COMPASS_across_contexts_fgsea.csv	uploaded	data/reproducibility/figure3/data/250721 Benchmarking_COMPASS_across_contexts_fgsea.csv	153507		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure3	reproducibility/figure3/data/250725_FIG3E_COMPARISON_fGSEA_100NULLmodels_SUMMARY.csv	uploaded	data/reproducibility/figure3/data/250725_FIG3E_COMPARISON_fGSEA_100NULLmodels_SUMMARY.csv	92146		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure3	reproducibility/figure3/data/annotation_protein function.csv	uploaded	data/reproducibility/figure3/data/annotation_protein function.csv	647		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure3	reproducibility/figure3/data/annotation_protein localization.csv	uploaded	data/reproducibility/figure3/data/annotation_protein localization.csv	731		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure4	reproducibility/figure4/data/drugs_U251MG_withLINCsignatures.cleaned.rds	uploaded	data/reproducibility/figure4/data/drugs_U251MG_withLINCsignatures.cleaned.rds	4429537		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure4	reproducibility/figure4/data/drugs_U251MG_withLINCsignatures.gct	uploaded	data/reproducibility/figure4/data/drugs_U251MG_withLINCsignatures.gct	25776066		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure4	reproducibility/figure4/data/metadata drugs_U251MG_withLINCsignatures.txt	uploaded	data/reproducibility/figure4/data/metadata drugs_U251MG_withLINCsignatures.txt	7781		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure4	reproducibility/figure4/data/COMPASS_drug_target interactions.csv	uploaded	data/reproducibility/figure4/data/COMPASS_drug_target interactions.csv	5864		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure4	reproducibility/figure4/data/LINC gene annotations.csv	reuse_existing_upload_url			reproducibility/figure1/data/LINC gene annotations.csv	TODO_FIGSHARE_FILE_URL	Do not upload duplicate file; use the Figshare URL for reuse_source_relative_path in this manifest row.
figure4	reproducibility/figure4/data/annotation_protein function_GBM63.csv	uploaded	data/reproducibility/figure4/data/annotation_protein function_GBM63.csv	151		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure4	reproducibility/figure4/data/annotation_protein localization_GBM63.csv	uploaded	data/reproducibility/figure4/data/annotation_protein localization_GBM63.csv	286		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure4	reproducibility/figure4/data/250212 BENCHMARKING_GBM63_DESeq2MEAN_COMPASS&SigCOM_FILTERED_FOR_ROC_zscores.csv	uploaded	data/reproducibility/figure4/data/250212 BENCHMARKING_GBM63_DESeq2MEAN_COMPASS&SigCOM_FILTERED_FOR_ROC_zscores.csv	22648		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure5	reproducibility/figure5/data/250428 GSE174554_seurat_malignant.harmony_CLEAN_LAYERS JOINT_IDHwt_all.rds	uploaded	data/reproducibility/figure5/data/250428 GSE174554_seurat_malignant.harmony_CLEAN_LAYERS JOINT_IDHwt_all.rds	2432147295		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure5	reproducibility/figure5/data/250626 GSE174554_pseudobulked transcriptomes_SCALED and feature selected.rds	uploaded	data/reproducibility/figure5/data/250626 GSE174554_pseudobulked transcriptomes_SCALED and feature selected.rds	1215505		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure5	reproducibility/figure5/data/Neftel_TableS2_MES&NPCjoined2.csv	uploaded	data/reproducibility/figure5/data/Neftel_TableS2_MES&NPCjoined2.csv	2532		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure5	reproducibility/figure5/data/250106 LINC_gene sets_CRISPR_U251MG_bottom 150_ALL_c1-3_tas02_ANNOTATED.csv	uploaded	data/reproducibility/figure5/data/250106 LINC_gene sets_CRISPR_U251MG_bottom 150_ALL_c1-3_tas02_ANNOTATED.csv	5149774		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure5	reproducibility/figure5/data/final_gene_expr_df.csv	uploaded	data/reproducibility/figure5/data/final_gene_expr_df.csv	216772340		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
