"file_stub","target","activity_target","wb_readout","cohort","n","pearson_r","r_squared","one_sided_regression_p","fdr_adjusted_p"
"BN91_MTOR_vs_pMTOR_Ponceau","MTOR","MTOR","pMTOR/Ponceau","BN91_pair_n6",6,0.879699958240368,0.773872016528105,0.0104188264755149,0.0125025917706179
"BN118_MTOR_vs_pMTOR_Ponceau","MTOR","MTOR","pMTOR/Ponceau","BN118_pair_n6",6,0.938371016385985,0.880540164393266,0.00279007996810923,0.00733327856418405
"BN91_MTOR_vs_pS6_Ponceau","MTOR","MTOR","pS6/Ponceau","BN91_pair_n6",6,0.929240200070699,0.863487349427433,0.00366663928209202,0.00733327856418405
"BN118_MTOR_vs_pS6_Ponceau","MTOR","MTOR","pS6/Ponceau","BN118_pair_n6",6,0.997523398162643,0.995052929881948,4.59636990117458e-06,2.75782194070475e-05
"BN91_RPS6.1_vs_pS6_Ponceau","RPS6","RPS6.1","pS6/Ponceau","BN91_pair_n6",6,0.608091883863468,0.369775739220621,0.100145493569817,0.100145493569817
"BN118_RPS6.1_vs_pS6_Ponceau","RPS6","RPS6.1","pS6/Ponceau","BN118_pair_n6",6,0.904963548434547,0.818959023995246,0.00655935476839773,0.00983903215259659
